activity,category
"Cycling, mountain bike, BMX",Cycling
"Cycling, <10 mph, leisure bicycling",Cycling
"Cycling, >20 mph, racing",Cycling
"Cycling, 10-11.9 mph, light",Cycling
"Cycling, 12-13.9 mph, moderate",Cycling
"Cycling, 14-15.9 mph, vigorous",Cycling
"Cycling, 16-19 mph, very fast, racing",Cycling
Unicycling,Cycling
"Stationary cycling, very light",Cycling
"Stationary cycling, light",Cycling
"Stationary cycling, moderate",Cycling
"Stationary cycling, vigorous",Cycling
"Stationary cycling, very vigorous",Cycling
"Calisthenics, vigorous, pushups, situps…",Aerobics/Calisthenics
"Calisthenics, light",Aerobics/Calisthenics
"Circuit training, minimal rest",Aerobics/Calisthenics
"Weight lifting, body building, vigorous",Aerobics/Calisthenics
"Weight lifting, light workout",Aerobics/Calisthenics
Health club exercise,Aerobics/Calisthenics
Stair machine,Aerobics/Calisthenics
"Rowing machine, light",Aerobics/Calisthenics
"Rowing machine, moderate",Aerobics/Calisthenics
"Rowing machine, vigorous",Aerobics/Calisthenics
"Rowing machine, very vigorous",Aerobics/Calisthenics
Ski machine,Aerobics/Calisthenics
"Aerobics, low impact",Aerobics/Calisthenics
"Aerobics, high impact",Aerobics/Calisthenics
"Aerobics, step aerobics",Aerobics/Calisthenics
"Aerobics, general",Aerobics/Calisthenics
Jazzercise,Aerobics/Calisthenics
"Stretching, hatha yoga",Aerobics/Calisthenics
Mild stretching,Aerobics/Calisthenics
Instructing aerobic class,Aerobics/Calisthenics
Water aerobics,Aerobics/Calisthenics
"Ballet, twist, jazz, tap",Dancing
"Ballroom dancing, slow",Dancing
"Ballroom dancing, fast",Dancing
"Running, 5 mph (12 minute mile)",Running
"Running, 5.2 mph (11.5 minute mile)",Running
"Running, 6 mph (10 min mile)",Running
"Running, 6.7 mph (9 min mile)",Running
"Running, 7 mph (8.5 min mile)",Running
"Running, 7.5mph (8 min mile)",Running
"Running, 8 mph (7.5 min mile)",Running
"Running, 8.6 mph (7 min mile)",Running
"Running, 9 mph (6.5 min mile)",Running
"Running, 10 mph (6 min mile)",Running
"Running, 10.9 mph (5.5 min mile)",Running
"Running, cross country",Running
"Running, general",Running
"Running, on a track, team practice",Running
"Running, stairs, up",Running
"Track and field (shot, discus)",Sports
